scene_id,im_id,obj_id,score,R,t,time
1,0,1,0.0,0.37595884152864634 -0.923520092417302 0.07593147159100844 0.6680273875374839 0.32691180343887294 0.6684819236689858 -0.6421793822416618 -0.20059738700661484 0.7398420975788254,6.358137489584799 -28.735388891918568 726.5891422492277,19.289154648780823
2,0,2,0.0,0.9570710212859406 -0.25782913240139205 -0.13243563984001053 -0.2100150469819974 -0.3019290048241822 -0.92990997203333 0.19977172036060795 0.91780336376101 -0.3431154983575336,-34.7364734703475 -144.9022256995613 585.2417252639667,10.913226127624512
